frp,confidence,brightness,is_night,distance_to_industrial_m,persistence_days,is_persistent,land_cover_industrial_weight,land_cover_vegetation_weight,target_class
74.32671247897306,99.26071459614874,366.59969709057026,1.0,135.17137066988627,21,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
45.4973661608903,91.888733379488,346.6854305569511,0.0,437.04196849880026,23,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
136.84053447700938,97.48663961200633,340.6169555339138,0.0,151.87675101059463,14,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
99.2235818512695,85.10599457829576,331.1531212520708,1.0,283.9151927463058,18,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
59.44099074518195,86.35909651799231,360.91930046665436,1.0,639.7708403421408,5,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
125.29374270731365,95.20461307881669,352.52496259847715,0.0,614.7430709677602,16,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
119.88172155222841,89.56920653760056,334.8836057003192,1.0,308.4930211811568,9,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
99.0496490671752,97.49792367604246,338.6682326753886,1.0,151.16401355071804,6,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
67.72966298938815,92.80102031766717,357.335513967164,0.0,631.4466229363808,14,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
133.64738886423987,98.42241025641474,359.8949989405543,1.0,93.98042625167089,10,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
123.6760541112059,96.20980165206072,356.984606619454,1.0,628.8057374311242,15,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
49.797043622350074,97.0329547113106,333.72753218398856,1.0,511.069309270961,14,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
65.816258345394,85.21119734072627,339.94212020444024,1.0,522.0070797240355,7,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
132.26159224390165,94.76615538252916,375.74798377718906,1.0,314.1649112243041,3,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
41.67362678003248,89.66473482573494,346.25916610133737,1.0,428.91005752668,5,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
84.58256714200468,86.79391368907453,365.6622393611498,1.0,382.3790905173927,16,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
86.84853761826102,92.8409924407299,351.3770509179275,0.0,105.81377046591571,9,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
84.91387343412174,93.44913357964576,364.7758043213064,0.0,408.6946013594685,17,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
114.33286954702011,88.43197248237433,333.84899549143967,0.0,138.3449852249427,4,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
100.55717505404829,89.43450528756571,335.2747129915135,1.0,173.24866670226848,22,1.0,1.0,0.0,FLARE_STACK_PERSISTENT
